CDM_SOURCE,CDM_TBL,CDM_TBL_COLUMN_NAME,SRC_CODE,SRC_CD_DESCRIPTION,TARGET_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_STANDARD_CONCEPT,TARGET_CONCEPT_CODE
PCORnet,PRESCRIBING,RX_FREQUENCY,4,04=Four  times  a  day  (QID),0,N/A,-,-,-,-,-
PCORnet,PRESCRIBING,RX_FREQUENCY,5,05=Every  morning,0,N/A,-,-,-,-,-
PCORnet,PRESCRIBING,RX_FREQUENCY,6,06=Every  afternoon,0,N/A,-,-,-,-,-
PCORnet,PRESCRIBING,RX_FREQUENCY,7,07=Before  meals,0,N/A,-,-,-,-,-
PCORnet,PRESCRIBING,RX_FREQUENCY,8,08=After  meals,0,N/A,-,-,-,-,-
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[APL'U],IgA anticardiolipin unit**,9099,(unit) IgA phospholipid unit (concept_id = 9099),Unit,UCUM,Unit,S,[APL'U]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[APL'U]/mL,IgA anticardiolipin unit per milliliter**,9156,(unit) IgA phospholipid unit per milliliter (concept_id = 9156),Unit,UCUM,Unit,S,[APL'U]/mL
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[arb'U],arbitrary unit,9260,(unit) arbitrary unit (concept_id = 9260),Unit,UCUM,Unit,S,[arb'U]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[arb'U]/mL,arbitrary unit per milliliter,8980,(unit) arbitrary unit per milliliter (concept_id = 8980),Unit,UCUM,Unit,S,[arb'U]/mL
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[AU],allergy unit,0,Gap,-,-,-,-,-
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[bdsk'U],Bodansky unit,9262,(unit) Bodansky unit (concept_id = 9262),Unit,UCUM,Unit,S,[bdsk'U]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[beth'U],Bethesda unit,9161,(unit) Bethesda unit (concept_id = 9161),Unit,UCUM,Unit,S,[beth'U]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[CFU],colony forming unit,9278,(unit) colony forming unit (concept_id = 9278),Unit,UCUM,Unit,S,[CFU]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[CFU]/L,colony forming unit per liter,9423,(unit) colony forming unit per milliliter (concept_id = 9423),Unit,UCUM,Unit,S,[CFU]/mL
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[CFU]/mL,colony forming unit per milliliter,9423,(unit) colony forming unit per milliliter (concept_id = 9423),Unit,UCUM,Unit,S,[CFU]/mL
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[Ch],French (catheter gauge),9279,(unit) charriere french (concept_id = 9279),Unit,UCUM,Unit,S,[Ch]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[cin_i],cubic inch (international),9283,(unit) cubic inch (concept_id = 9283),Unit,UCUM,Unit,S,[cin_i]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[degF],degree Fahrenheit,9289,(unit) degree Fahrenheit (concept_id = 9289),Unit,UCUM,Unit,S,[degF]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[dr_av],dram  (US and British),9295,(unit) dram (avoirdupois) (concept_id = 9295),Unit,UCUM,Unit,S,[dr_av]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[drp],drop (1/12 milliliter),9296,(unit) drop (concept_id = 9296),Unit,UCUM,Unit,S,[drp]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[foz_us],fluid ounce (US),9304,(unit) fluid ounce (US) (concept_id = 9304),Unit,UCUM,Unit,S,[foz_us]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[ft_i],foot (international),9306,(unit) foot (international) (concept_id = 9306),Unit,UCUM,Unit,S,[ft_i]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[gal_us],gallon (US),9515,(unit) gallon (US) (concept_id = 9515),Unit,UCUM,Unit,S,[gal_us]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[GPL'U],IgG anticardiolipin unit**,9100,(unit) IgG phospholipid unit (concept_id = 9100),Unit,UCUM,Unit,S,[GPL'U]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[GPL'U]/mL,IgG anticardiolipin unit per milliliter**,9157,(unit) IgG phospholipid unit per milliliter (concept_id = 9157),Unit,UCUM,Unit,S,[GPL'U]/mL
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[HPF],high power field,8786,(unit) per high power field (concept_id = 8786),Unit,UCUM,Unit,S,/[HPF]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[in_i'H2O],inch (international) of water,9328,(unit) inch of water column (concept_id = 9328),Unit,UCUM,Unit,S,[in_i'H2O]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[in_i],inch (international),9327,(unit) inch (international) (concept_id = 9327),Unit,UCUM,Unit,S,[in_i]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[IU],international unit,8718,(unit) international unit (concept_id = 8718),Unit,UCUM,Unit,S,[iU]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[IU]/(2.h),international unit per 2 hour,9687,(unit) international unit per hour (concept_id = 9687),Unit,UCUM,Unit,S,[iU]/h
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[IU]/(24.h),international unit per 24 hour,44777564,(unit) international unit per 24 hours (concept_id = 44777564),Unit,UCUM,Unit,S,[iU]/(24.h)
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[IU]/10*9{RBCs},international unit per billion red blood cells,9031,(unit) unit per billion red blood cells (concept_id = 9031),Unit,UCUM,Unit,S,[U]/10*12.{RBC}
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[IU]/d,international unit per day,8923,(unit) international unit per liter (concept_id = 8923),Unit,UCUM,Unit,S,[iU]/L
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[IU]/dL,international unit per deciliter,9332,(unit) international unit per deciliter (concept_id = 9332),Unit,UCUM,Unit,S,[iU]/dL
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[IU]/g,international unit per gram,9333,(unit) international unit per gram (concept_id = 9333),Unit,UCUM,Unit,S,[iU]/g
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[IU]/g{Hb},international unit per gram of hemoglobin,9334,(unit) international unit per gram of hemoglobin (concept_id = 9334),Unit,UCUM,Unit,S,[iU]/g{HBG}
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[IU]/h,international unit per hour,9687,(unit) international unit per hour (concept_id = 9687),Unit,UCUM,Unit,S,[iU]/h
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[IU]/kg,international unit per kilogram,9335,(unit) international unit per kilogram (concept_id = 9335),Unit,UCUM,Unit,S,[iU]/kg
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[IU]/kg/d,international unit per kilogram per day,9335,(unit) international unit per kilogram (concept_id = 9335),Unit,UCUM,Unit,S,[iU]/kg
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[IU]/kg/h,international unit per kilogram per hour,9335,(unit) international unit per kilogram (concept_id = 9335),Unit,UCUM,Unit,S,[iU]/kg
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[IU]/L,international unit per liter,8923,(unit) international unit per liter (concept_id = 8923),Unit,UCUM,Unit,S,[iU]/L
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[IU]/L{37Cel},international unit per liter at 37 degrees Celsius,8923,(unit) international unit per liter (concept_id = 8923),Unit,UCUM,Unit,S,[iU]/L
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[IU]/mg{creat},international unit per milligram of creatinine,45891019,(unit) international unit per milligram (concept_id = 45891019),Unit,UCUM,Unit,S,[iU]/mg
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[IU]/min,international unit per minute,8923,(unit) international unit per liter (concept_id = 8923),Unit,UCUM,Unit,S,[iU]/L
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[IU]/mL,international unit per milliliter,8985,(unit) international unit per milliliter (concept_id = 8985),Unit,UCUM,Unit,S,[iU]/mL
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[ka'U],King Armstrong unit,9339,(unit) King-Armstrong unit (concept_id = 9339),Unit,UCUM,Unit,S,[ka'U]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[knk'U],Kunkel unit,9342,(unit) Kunkel unit (concept_id = 9342),Unit,UCUM,Unit,S,[knk'U]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[lb_av],pound (US and British),8739,(unit) pound (US) (concept_id = 8739),Unit,UCUM,Unit,S,[lb_us]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[LPF],low power field,8765,(unit) per low powered field (concept_id = 8765),Unit,UCUM,Unit,S,/[LPF]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[mclg'U],Maclagan unit,9358,(unit) mac lagan unit (concept_id = 9358),Unit,UCUM,Unit,S,[mclg'U]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[mi_i],mile (international),9362,(unit) statute mile (concept_id = 9362),Unit,UCUM,Unit,S,[mi_i]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[MPL'U],IgM anticardiolipin unit**,9101,(unit) IgM phospholipid unit (concept_id = 9101),Unit,UCUM,Unit,S,[MPL'U]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[MPL'U]/mL,IgM anticardiolipin unit per milliliter**,9158,(unit) IgM phospholipid unit per milliliter (concept_id = 9158),Unit,UCUM,Unit,S,[MPL'U]/mL
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[oz_av],ounce (US and British),9373,(unit) ounce (avoirdupois) (concept_id = 9373),Unit,UCUM,Unit,S,[oz_av]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[oz_tr],Troy ounce,9374,(unit) ounce (troy system) (concept_id = 9374),Unit,UCUM,Unit,S,[oz_tr]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[pH],pH,8482,(unit) pH (concept_id = 8482),Unit,UCUM,Unit,S,pH
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[ppb],part per billion,8703,(unit) parts per billion (concept_id = 8703),Unit,UCUM,Unit,S,[ppb]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[ppm],part per million,9387,(unit) parts per million (concept_id = 9387),Unit,UCUM,Unit,S,[ppm]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[ppm]{v/v},part per million in volume per volume,9241,(unit) per million (concept_id = 9241),Unit,UCUM,Unit,S,/10*6
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[ppth],part per thousand,9154,(unit) parts per thousand (concept_id = 9154),Unit,UCUM,Unit,S,[ppth]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[pptr],part per trillion,9155,(unit) parts per trillion (concept_id = 9155),Unit,UCUM,Unit,S,[pptr]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[psi],pound per square inch,9389,(unit) pound per sqare inch (concept_id = 9389),Unit,UCUM,Unit,S,[psi]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[pt_us],pint (US),9391,(unit) pint (US) (concept_id = 9391),Unit,UCUM,Unit,S,[pt_us]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[qt_us],quart (US),9394,(unit) quart (US) (concept_id = 9394),Unit,UCUM,Unit,S,[qt_us]
PCORnet,PRESCRIBING,RX_DOSE_ORDERED_UNIT,[sft_i],square foot (international),9403,(unit) square foot (concept_id = 9403),Unit,UCUM,Unit,S,[sft_i]
