measured_variable,codeset_id,unit,harmonized_unit,measurement_concept_name,conversion_formula
"BNP, pg/mL",703853936,nanogram per milliliter,picogram per milliliter,Natriuretic peptide B [Moles/volume] in Serum or Plasma,x*1000
"BNP, pg/mL",703853936,nanogram per liter,picogram per milliliter,Natriuretic peptide B [Moles/volume] in Serum or Plasma,x
"BNP, pg/mL",703853936,milligram per deciliter,picogram per milliliter,Natriuretic peptide B [Moles/volume] in Serum or Plasma,x*10000000
"BNP, pg/mL",703853936,gram per deciliter,picogram per milliliter,Natriuretic peptide B [Moles/volume] in Serum or Plasma,x*10000000000
"BNP, pg/mL",703853936,picogram per deciliter,picogram per milliliter,Natriuretic peptide B [Mass/volume] in Serum or Plasma,x*0.01
"BNP, pg/mL",703853936,nanogram per milliliter,picogram per milliliter,Natriuretic peptide B [Mass/volume] in Serum or Plasma,x*1000
"BNP, pg/mL",703853936,nanogram per liter,picogram per milliliter,Natriuretic peptide B [Mass/volume] in Serum or Plasma,x
"BNP, pg/mL",703853936,milligram per deciliter,picogram per milliliter,Natriuretic peptide B [Mass/volume] in Serum or Plasma,x*10000000
"BNP, pg/mL",703853936,gram per deciliter,picogram per milliliter,Natriuretic peptide B [Mass/volume] in Serum or Plasma,x*10000000000
"BNP, pg/mL",703853936,picogram per deciliter,picogram per milliliter,Brain natriuretic peptide measurement,x*0.01
"BNP, pg/mL",703853936,nanogram per milliliter,picogram per milliliter,Brain natriuretic peptide measurement,x*1000
"BNP, pg/mL",703853936,nanogram per liter,picogram per milliliter,Brain natriuretic peptide measurement,x
"BNP, pg/mL",703853936,milligram per deciliter,picogram per milliliter,Brain natriuretic peptide measurement,x*10000000
"BNP, pg/mL",703853936,gram per deciliter,picogram per milliliter,Brain natriuretic peptide measurement,x*10000000000
Body weight,776390058,pound (US),kilogram,Body weight Measured,x*0.453592
Body weight,776390058,oz,kilogram,Body weight Measured,x*0.02835
Body weight,776390058,ounce (avoirdupois),kilogram,Body weight Measured,x*0.02835
Body weight,776390058,gram,kilogram,Body weight Measured,x*0.001
Body weight,776390058,oz,kilogram,Body weight --used for drug calculation,x*0.02835
Body weight,776390058,gram,kilogram,Body weight --used for drug calculation,x*0.001
Body weight,776390058,pound (US),kilogram,Body weight Stated,x*0.453592
Body weight,776390058,oz,kilogram,Body weight Stated,x*0.02835
Body weight,776390058,pound (US),kilogram,Body weight,x*0.453592
Body weight,776390058,oz,kilogram,Body weight,x*0.02835
Body weight,776390058,ounce (avoirdupois),kilogram,Body weight,x*0.02835
Body weight,776390058,milligram,kilogram,Body weight,x*0.000001
Body weight,776390058,gram,kilogram,Body weight,x*0.001
Body weight,776390058,oz,kilogram,Body weight - Reported --usual,x*0.02835
Body weight,776390058,gram,kilogram,Body weight - Reported --usual,x*0.001
"BUN, mg/dL",139231433,millimole per liter,milligram per deciliter,Urea nitrogen [Mass/volume] in Blood,x*2.8
"BUN, mg/dL",139231433,nanogram per deciliter,milligram per deciliter,Urea nitrogen [Mass/volume] in Serum or Plasma,x*0.000001
"BUN, mg/dL",139231433,millimole per liter,milligram per deciliter,Urea nitrogen [Mass/volume] in Serum or Plasma,x*2.8
"BUN, mg/dL",139231433,gram per deciliter,milligram per deciliter,Urea nitrogen [Mass/volume] in Serum or Plasma,x*1000
"c-reactive protein CRP, mg/L",371622342,nanogram per milliliter,milligram per liter,C reactive protein,x*0.001
"c-reactive protein CRP, mg/L",371622342,nanogram per deciliter,milligram per liter,C reactive protein,x*0.00001
"c-reactive protein CRP, mg/L",371622342,microgram per liter,milligram per liter,C reactive protein,x*0.001
"c-reactive protein CRP, mg/L",371622342,mg/L,milligram per liter,C reactive protein,x
"c-reactive protein CRP, mg/L",371622342,gram per deciliter,milligram per liter,C reactive protein,x*10000
"c-reactive protein CRP, mg/L",371622342,nanogram per milliliter,milligram per liter,C reactive protein [Mass/volume] in Blood by High sensitivity method,x*0.001
"c-reactive protein CRP, mg/L",371622342,nanogram per deciliter,milligram per liter,C reactive protein [Mass/volume] in Blood by High sensitivity method,x*0.00001
"c-reactive protein CRP, mg/L",371622342,milligram per deciliter,milligram per liter,C reactive protein [Mass/volume] in Blood by High sensitivity method,x*10
"c-reactive protein CRP, mg/L",371622342,microgram per liter,milligram per liter,C reactive protein [Mass/volume] in Blood by High sensitivity method,x*0.001
"c-reactive protein CRP, mg/L",371622342,mg/L,milligram per liter,C reactive protein [Mass/volume] in Blood by High sensitivity method,x
"c-reactive protein CRP, mg/L",371622342,gram per deciliter,milligram per liter,C reactive protein [Mass/volume] in Blood by High sensitivity method,x*10000
"c-reactive protein CRP, mg/L",371622342,nanogram per milliliter,milligram per liter,CRP (C reactive protein) mass concentration in plasma,x*0.001
"c-reactive protein CRP, mg/L",371622342,nanogram per deciliter,milligram per liter,CRP (C reactive protein) mass concentration in plasma,x*0.00001
"c-reactive protein CRP, mg/L",371622342,microgram per liter,milligram per liter,CRP (C reactive protein) mass concentration in plasma,x*0.001
"c-reactive protein CRP, mg/L",371622342,mg/L,milligram per liter,CRP (C reactive protein) mass concentration in plasma,x
"c-reactive protein CRP, mg/L",371622342,gram per deciliter,milligram per liter,CRP (C reactive protein) mass concentration in plasma,x*10000
"c-reactive protein CRP, mg/L",371622342,nanogram per milliliter,milligram per liter,C reactive protein [Mass/volume] in Body fluid,x*0.001
"c-reactive protein CRP, mg/L",371622342,nanogram per deciliter,milligram per liter,C reactive protein [Mass/volume] in Body fluid,x*0.00001
"c-reactive protein CRP, mg/L",371622342,microgram per liter,milligram per liter,C reactive protein [Mass/volume] in Body fluid,x*0.001
"c-reactive protein CRP, mg/L",371622342,mg/L,milligram per liter,C reactive protein [Mass/volume] in Body fluid,x
"c-reactive protein CRP, mg/L",371622342,gram per deciliter,milligram per liter,C reactive protein [Mass/volume] in Body fluid,x*10000
"c-reactive protein CRP, mg/L",371622342,nanogram per milliliter,milligram per liter,C reactive protein [Titer] in Serum or Plasma,x*0.001
"c-reactive protein CRP, mg/L",371622342,nanogram per deciliter,milligram per liter,C reactive protein [Titer] in Serum or Plasma,x*0.00001
"c-reactive protein CRP, mg/L",371622342,microgram per liter,milligram per liter,C reactive protein [Titer] in Serum or Plasma,x*0.001
"c-reactive protein CRP, mg/L",371622342,mg/L,milligram per liter,C reactive protein [Titer] in Serum or Plasma,x
"c-reactive protein CRP, mg/L",371622342,gram per deciliter,milligram per liter,C reactive protein [Titer] in Serum or Plasma,x*10000
"c-reactive protein CRP, mg/L",371622342,nanogram per milliliter,milligram per liter,Serum CRP (C reactive protein) level,x*0.001
"c-reactive protein CRP, mg/L",371622342,nanogram per deciliter,milligram per liter,Serum CRP (C reactive protein) level,x*0.00001
"c-reactive protein CRP, mg/L",371622342,microgram per liter,milligram per liter,Serum CRP (C reactive protein) level,x*0.001
"c-reactive protein CRP, mg/L",371622342,mg/L,milligram per liter,Serum CRP (C reactive protein) level,x
"c-reactive protein CRP, mg/L",371622342,gram per deciliter,milligram per liter,Serum CRP (C reactive protein) level,x*10000
"c-reactive protein CRP, mg/L",371622342,nanogram per milliliter,milligram per liter,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,x*0.001
"c-reactive protein CRP, mg/L",371622342,nanogram per deciliter,milligram per liter,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,x*0.00001
"c-reactive protein CRP, mg/L",371622342,milligram per deciliter,milligram per liter,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,x*10
"c-reactive protein CRP, mg/L",371622342,microgram per liter,milligram per liter,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,x*0.001
"c-reactive protein CRP, mg/L",371622342,mg/L,milligram per liter,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,x
"c-reactive protein CRP, mg/L",371622342,gram per deciliter,milligram per liter,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,x*10000
"c-reactive protein CRP, mg/L",371622342,nanogram per milliliter,milligram per liter,C reactive protein [Quintile] in Serum or Plasma by High sensitivity method,x*0.001
"c-reactive protein CRP, mg/L",371622342,nanogram per deciliter,milligram per liter,C reactive protein [Quintile] in Serum or Plasma by High sensitivity method,x*0.00001
"c-reactive protein CRP, mg/L",371622342,microgram per liter,milligram per liter,C reactive protein [Quintile] in Serum or Plasma by High sensitivity method,x*0.001
"c-reactive protein CRP, mg/L",371622342,mg/L,milligram per liter,C reactive protein [Quintile] in Serum or Plasma by High sensitivity method,x
"c-reactive protein CRP, mg/L",371622342,gram per deciliter,milligram per liter,C reactive protein [Quintile] in Serum or Plasma by High sensitivity method,x*10000
"c-reactive protein CRP, mg/L",371622342,nanogram per milliliter,milligram per liter,CRP (C reactive protein) mass concentration in serum,x*0.001
"c-reactive protein CRP, mg/L",371622342,nanogram per deciliter,milligram per liter,CRP (C reactive protein) mass concentration in serum,x*0.00001
"c-reactive protein CRP, mg/L",371622342,microgram per liter,milligram per liter,CRP (C reactive protein) mass concentration in serum,x*0.001
"c-reactive protein CRP, mg/L",371622342,mg/L,milligram per liter,CRP (C reactive protein) mass concentration in serum,x
"c-reactive protein CRP, mg/L",371622342,gram per deciliter,milligram per liter,CRP (C reactive protein) mass concentration in serum,x*10000
"c-reactive protein CRP, mg/L",371622342,nanogram per milliliter,milligram per liter,Serum C reactive protein level,x*0.001
"c-reactive protein CRP, mg/L",371622342,nanogram per deciliter,milligram per liter,Serum C reactive protein level,x*0.00001
"c-reactive protein CRP, mg/L",371622342,microgram per liter,milligram per liter,Serum C reactive protein level,x*0.001
"c-reactive protein CRP, mg/L",371622342,mg/L,milligram per liter,Serum C reactive protein level,x
"c-reactive protein CRP, mg/L",371622342,gram per deciliter,milligram per liter,Serum C reactive protein level,x*10000
"c-reactive protein CRP, mg/L",371622342,nanogram per milliliter,milligram per liter,C reactive protein [Moles/volume] in Serum or Plasma by High sensitivity method,x*0.001
"c-reactive protein CRP, mg/L",371622342,nanogram per deciliter,milligram per liter,C reactive protein [Moles/volume] in Serum or Plasma by High sensitivity method,x*0.00001
"c-reactive protein CRP, mg/L",371622342,microgram per liter,milligram per liter,C reactive protein [Moles/volume] in Serum or Plasma by High sensitivity method,x*0.001
"c-reactive protein CRP, mg/L",371622342,mg/L,milligram per liter,C reactive protein [Moles/volume] in Serum or Plasma by High sensitivity method,x
"c-reactive protein CRP, mg/L",371622342,gram per deciliter,milligram per liter,C reactive protein [Moles/volume] in Serum or Plasma by High sensitivity method,x*10000
"c-reactive protein CRP, mg/L",371622342,nanogram per milliliter,milligram per liter,C reactive protein [Mass/volume] in Capillary blood,x*0.001
"c-reactive protein CRP, mg/L",371622342,nanogram per deciliter,milligram per liter,C reactive protein [Mass/volume] in Capillary blood,x*0.00001
"c-reactive protein CRP, mg/L",371622342,microgram per liter,milligram per liter,C reactive protein [Mass/volume] in Capillary blood,x*0.001
"c-reactive protein CRP, mg/L",371622342,mg/L,milligram per liter,C reactive protein [Mass/volume] in Capillary blood,x
"c-reactive protein CRP, mg/L",371622342,gram per deciliter,milligram per liter,C reactive protein [Mass/volume] in Capillary blood,x*10000
"c-reactive protein CRP, mg/L",371622342,nanogram per milliliter,milligram per liter,Plasma C reactive protein,x*0.001
"c-reactive protein CRP, mg/L",371622342,nanogram per deciliter,milligram per liter,Plasma C reactive protein,x*0.00001
"c-reactive protein CRP, mg/L",371622342,microgram per liter,milligram per liter,Plasma C reactive protein,x*0.001
"c-reactive protein CRP, mg/L",371622342,mg/L,milligram per liter,Plasma C reactive protein,x
"c-reactive protein CRP, mg/L",371622342,gram per deciliter,milligram per liter,Plasma C reactive protein,x*10000
"c-reactive protein CRP, mg/L",371622342,nanogram per milliliter,milligram per liter,C reactive protein [Mass/volume] in Serum or Plasma,x*0.001
"c-reactive protein CRP, mg/L",371622342,nanogram per liter,milligram per liter,C reactive protein [Mass/volume] in Serum or Plasma,x*0.000001
"c-reactive protein CRP, mg/L",371622342,nanogram per deciliter,milligram per liter,C reactive protein [Mass/volume] in Serum or Plasma,x*0.00001
"c-reactive protein CRP, mg/L",371622342,milligram per deciliter,milligram per liter,C reactive protein [Mass/volume] in Serum or Plasma,x*10
"c-reactive protein CRP, mg/L",371622342,microgram per liter,milligram per liter,C reactive protein [Mass/volume] in Serum or Plasma,x*0.001
"c-reactive protein CRP, mg/L",371622342,mg/L,milligram per liter,C reactive protein [Mass/volume] in Serum or Plasma,x
"c-reactive protein CRP, mg/L",371622342,gram per deciliter,milligram per liter,C reactive protein [Mass/volume] in Serum or Plasma,x*10000
"c-reactive protein CRP, mg/L",371622342,nanogram per milliliter,milligram per liter,C reactive protein [Presence] in Serum or Plasma,x*0.001
"c-reactive protein CRP, mg/L",371622342,nanogram per deciliter,milligram per liter,C reactive protein [Presence] in Serum or Plasma,x*0.00001
"c-reactive protein CRP, mg/L",371622342,milligram per deciliter,milligram per liter,C reactive protein [Presence] in Serum or Plasma,x*10
"c-reactive protein CRP, mg/L",371622342,microgram per liter,milligram per liter,C reactive protein [Presence] in Serum or Plasma,x*0.001
"c-reactive protein CRP, mg/L",371622342,mg/L,milligram per liter,C reactive protein [Presence] in Serum or Plasma,x
"c-reactive protein CRP, mg/L",371622342,gram per deciliter,milligram per liter,C reactive protein [Presence] in Serum or Plasma,x*10000
"c-reactive protein CRP, mg/L",371622342,nanogram per milliliter,milligram per liter,C reactive protein [Moles/volume] in Serum or Plasma,x*0.001
"c-reactive protein CRP, mg/L",371622342,nanogram per deciliter,milligram per liter,C reactive protein [Moles/volume] in Serum or Plasma,x*0.00001
"c-reactive protein CRP, mg/L",371622342,microgram per liter,milligram per liter,C reactive protein [Moles/volume] in Serum or Plasma,x*0.001
"c-reactive protein CRP, mg/L",371622342,mg/L,milligram per liter,C reactive protein [Moles/volume] in Serum or Plasma,x
"c-reactive protein CRP, mg/L",371622342,gram per deciliter,milligram per liter,C reactive protein [Moles/volume] in Serum or Plasma,x*10000
CD4 Cell Count (absolute),24299640,unit per liter,cells per microliter,CD3+CD4+ (T4 helper) cells [#/volume] in Blood,x*0.000001
CD4 Cell Count (absolute),24299640,thousand per microliter,cells per microliter,CD3+CD4+ (T4 helper) cells [#/volume] in Blood,x*1000
CD4 Cell Count (absolute),24299640,per microliter,cells per microliter,CD3+CD4+ (T4 helper) cells [#/volume] in Blood,x
CD4 Cell Count (absolute),24299640,million per liter,cells per microliter,CD3+CD4+ (T4 helper) cells [#/volume] in Blood,x
CD4 Cell Count (absolute),24299640,microliter,cells per microliter,CD3+CD4+ (T4 helper) cells [#/volume] in Blood,x
CD4 Cell Count (absolute),24299640,cubic millimeter,cells per microliter,CD3+CD4+ (T4 helper) cells [#/volume] in Blood,x
CD4 Cell Count (absolute),24299640,cells per liter,cells per microliter,CD3+CD4+ (T4 helper) cells [#/volume] in Blood,x*0.000001
CD4 Cell Count (absolute),24299640,unit per liter,cells per microliter,T cells; absolute CD4 count,x*0.000001
CD4 Cell Count (absolute),24299640,million per liter,cells per microliter,T cells; absolute CD4 count,x
CD4 Cell Count (absolute),24299640,cells per liter,cells per microliter,T cells; absolute CD4 count,x*0.000001
CD4 Cell Count (absolute),24299640,unit per liter,cells per microliter,T-cell helper (CD4) subset panel - Blood,x*0.000001
CD4 Cell Count (absolute),24299640,per microliter,cells per microliter,T-cell helper (CD4) subset panel - Blood,x
CD4 Cell Count (absolute),24299640,million per liter,cells per microliter,T-cell helper (CD4) subset panel - Blood,x
CD4 Cell Count (absolute),24299640,cells per liter,cells per microliter,T-cell helper (CD4) subset panel - Blood,x*0.000001
CD4/CD8 Ratio,410508887,percent,ratio,CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Blood,x
"Chloride, mmol/L",733538531,milliequivalent per liter,millimole per liter,Chloride [Moles/volume] in Serum or Plasma,x
"Chloride, mmol/L",733538531,milliequivalent per liter,millimole per liter,Chloride [Moles/volume] in Capillary blood,x
"Chloride, mmol/L",733538531,milliequivalent per liter,millimole per liter,Chloride [Moles/volume] in Arterial blood,x
"Chloride, mmol/L",733538531,milliequivalent per liter,millimole per liter,"Chloride [Moles/volume] in Serum, Plasma or Blood",x
"Chloride, mmol/L",733538531,milliequivalent per deciliter,millimole per liter,"Chloride [Moles/volume] in Serum, Plasma or Blood",x*10
"Chloride, mmol/L",733538531,milliequivalent per liter,millimole per liter,Chloride [Moles/volume] in Venous blood,x
"Chloride, mmol/L",733538531,milliequivalent per liter,millimole per liter,Chloride [Moles/volume] in Blood,x
"Creatinine, mg/dL",615348047,nanogram per deciliter,milligram per deciliter,Creatinine substance concentration in serum by colorimetric method,x*0.000001
"Creatinine, mg/dL",615348047,millimole per liter,milligram per deciliter,Creatinine substance concentration in serum by colorimetric method,x*11.312217194570135
"Creatinine, mg/dL",615348047,gram per deciliter,milligram per deciliter,Creatinine substance concentration in serum by colorimetric method,x*1000
"Creatinine, mg/dL",615348047,nanogram per milliliter,milligram per deciliter,Creatinine [Mass/volume] in Serum or Plasma,x*0.0001
"Creatinine, mg/dL",615348047,nanogram per deciliter,milligram per deciliter,Creatinine [Mass/volume] in Serum or Plasma,x*0.000001
"Creatinine, mg/dL",615348047,millimole per liter,milligram per deciliter,Creatinine [Mass/volume] in Serum or Plasma,x*11.312217194570135
"Creatinine, mg/dL",615348047,gram per deciliter,milligram per deciliter,Creatinine [Mass/volume] in Serum or Plasma,x*1000
"Creatinine, mg/dL",615348047,nanogram per deciliter,milligram per deciliter,Creatinine substance concentration in serum by enzymatic method,x*0.000001
"Creatinine, mg/dL",615348047,millimole per liter,milligram per deciliter,Creatinine substance concentration in serum by enzymatic method,x*11.312217194570135
"Creatinine, mg/dL",615348047,gram per deciliter,milligram per deciliter,Creatinine substance concentration in serum by enzymatic method,x*1000
"Creatinine, mg/dL",615348047,nanogram per deciliter,milligram per deciliter,"Creatinine measurement, serum",x*0.000001
"Creatinine, mg/dL",615348047,millimole per liter,milligram per deciliter,"Creatinine measurement, serum",x*11.312217194570135
"Creatinine, mg/dL",615348047,gram per deciliter,milligram per deciliter,"Creatinine measurement, serum",x*1000
"Creatinine, mg/dL",615348047,nanogram per deciliter,milligram per deciliter,Creatinine [Mass/volume] in Arterial blood,x*0.000001
"Creatinine, mg/dL",615348047,millimole per liter,milligram per deciliter,Creatinine [Mass/volume] in Arterial blood,x*11.312217194570135
"Creatinine, mg/dL",615348047,gram per deciliter,milligram per deciliter,Creatinine [Mass/volume] in Arterial blood,x*1000
"Creatinine, mg/dL",615348047,nanogram per deciliter,milligram per deciliter,Creatinine substance concentration in serum,x*0.000001
"Creatinine, mg/dL",615348047,millimole per liter,milligram per deciliter,Creatinine substance concentration in serum,x*11.312217194570135
"Creatinine, mg/dL",615348047,gram per deciliter,milligram per deciliter,Creatinine substance concentration in serum,x*1000
"Creatinine, mg/dL",615348047,nanogram per deciliter,milligram per deciliter,Corrected plasma creatinine measurement,x*0.000001
"Creatinine, mg/dL",615348047,millimole per liter,milligram per deciliter,Corrected plasma creatinine measurement,x*11.312217194570135
"Creatinine, mg/dL",615348047,gram per deciliter,milligram per deciliter,Corrected plasma creatinine measurement,x*1000
"Creatinine, mg/dL",615348047,nanogram per deciliter,milligram per deciliter,Creatinine [Mass/volume] in Blood,x*0.000001
"Creatinine, mg/dL",615348047,millimole per liter,milligram per deciliter,Creatinine [Mass/volume] in Blood,x*11.312217194570135
"Creatinine, mg/dL",615348047,gram per deciliter,milligram per deciliter,Creatinine [Mass/volume] in Blood,x*1000
"Creatinine, mg/dL",615348047,nanogram per deciliter,milligram per deciliter,Creatinine; blood,x*0.000001
"Creatinine, mg/dL",615348047,millimole per liter,milligram per deciliter,Creatinine; blood,x*11.312217194570135
"Creatinine, mg/dL",615348047,gram per deciliter,milligram per deciliter,Creatinine; blood,x*1000
"Creatinine, mg/dL",615348047,nanogram per deciliter,milligram per deciliter,Corrected serum creatinine measurement,x*0.000001
"Creatinine, mg/dL",615348047,millimole per liter,milligram per deciliter,Corrected serum creatinine measurement,x*11.312217194570135
"Creatinine, mg/dL",615348047,gram per deciliter,milligram per deciliter,Corrected serum creatinine measurement,x*1000
"Creatinine, mg/dL",615348047,nanogram per deciliter,milligram per deciliter,Corrected serum creatinine level,x*0.000001
"Creatinine, mg/dL",615348047,millimole per liter,milligram per deciliter,Corrected serum creatinine level,x*11.312217194570135
"Creatinine, mg/dL",615348047,gram per deciliter,milligram per deciliter,Corrected serum creatinine level,x*1000
"Creatinine, mg/dL",615348047,nanogram per deciliter,milligram per deciliter,Serum creatinine level,x*0.000001
"Creatinine, mg/dL",615348047,millimole per liter,milligram per deciliter,Serum creatinine level,x*11.312217194570135
"Creatinine, mg/dL",615348047,gram per deciliter,milligram per deciliter,Serum creatinine level,x*1000
"Creatinine, mg/dL",615348047,nanogram per deciliter,milligram per deciliter,Plasma creatinine measurement,x*0.000001
"Creatinine, mg/dL",615348047,millimole per liter,milligram per deciliter,Plasma creatinine measurement,x*11.312217194570135
"Creatinine, mg/dL",615348047,gram per deciliter,milligram per deciliter,Plasma creatinine measurement,x*1000
"D-Dimer, mg/L FEU",475972797,nanogram per milliliter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma by Immunoassay,x*0.001
"D-Dimer, mg/L FEU",475972797,nanogram of fibrinogen equivalent unit per milliliter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma by Immunoassay,x*0.001
"D-Dimer, mg/L FEU",475972797,milligram of fibrinogen equivalent unit per liter,Milligram per liter fibrinogen equivalent unit,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma by Immunoassay,x*1.74
